split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Naive inherited-label classifier,I,MAST cells,II_III,35,0.2285788789978429,0.36489812148641465
test,Naive inherited-label classifier,I,Myeloid cells,II_III,168,0.2069608468321546,0.3468032287985675
test,Naive inherited-label classifier,I,T lymphocytes,II_III,248,0.20094346665637577,0.4232734108237437
test,Naive inherited-label classifier,I,Endothelial cells,II_III,29,0.137292343283666,0.20900673697401376
test,Naive inherited-label classifier,I,Undetermined,II_III,2,0.13599097983181646,0.17100363097194377
test,Naive inherited-label classifier,I,Epithelial cells,II_III,109,0.09937379194849168,0.2614503437944791
test,Naive inherited-label classifier,I,B lymphocytes,II_III,43,0.08300423111459615,0.12506161851500444
test,Naive inherited-label classifier,I,Epithelial cells,IV,109,0.7811211693493928,0.9422994729774099
test,Naive inherited-label classifier,I,Endothelial cells,IV,29,0.5110673326986848,0.7566179982458444
test,Naive inherited-label classifier,I,NK cells,IV,81,0.3687121025689772,0.6826515995384036
test,Naive inherited-label classifier,I,Undetermined,IV,2,0.3551460968315215,0.3917089926091687
test,Naive inherited-label classifier,I,MAST cells,IV,35,0.3500624090840178,0.6069201382703636
test,Naive inherited-label classifier,I,B lymphocytes,IV,43,0.34346479992339185,0.5850451470816239
test,Naive inherited-label classifier,I,Fibroblasts,IV,31,0.2965925949823577,0.5548194319371608
test,Naive inherited-label classifier,I,T lymphocytes,IV,248,0.27766697031529697,0.5921815378409444
test,Naive inherited-label classifier,I,Myeloid cells,IV,168,0.21647858311084583,0.6750710846720887
test,Naive inherited-label classifier,II_III,MAST cells,I,3,0.5945341763787511,0.8243550601684274
test,Naive inherited-label classifier,II_III,Myeloid cells,I,53,0.5791308554550616,0.82331014035575
test,Naive inherited-label classifier,II_III,Endothelial cells,I,1,0.5787906703187428,0.5787906703187428
test,Naive inherited-label classifier,II_III,B lymphocytes,I,40,0.5224976570046561,0.7626548836546029
test,Naive inherited-label classifier,II_III,T lymphocytes,I,138,0.506587202296501,0.7415598392979055
test,Naive inherited-label classifier,II_III,NK cells,I,5,0.3792470798940108,0.6591231788895897
test,Naive inherited-label classifier,II_III,Undetermined,I,1,0.2397334783645928,0.2397334783645928
test,Naive inherited-label classifier,II_III,Epithelial cells,I,10,0.1470826537255093,0.3206386342677972
test,Naive inherited-label classifier,II_III,Myeloid cells,II_III,53,0.18788422529177992,0.303124620898038
test,Naive inherited-label classifier,II_III,Undetermined,II_III,1,0.1586420714479506,0.1586420714479506
